"board_name","list_name","card_name","osic_epic","days_since","checklist_count","checklist_item_count","checked_item_count","label_count","assignment_count","label_detail","assignnment_detail","url"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",37,0,0,0,3,0,"Starter","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",37,0,0,0,3,0,"High Priority","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce unnecessary API calls for Instances","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/lm149Nap/54-hznopt-reduce-unnecessary-api-calls-for-instances"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce unnecessary API calls for Instances","opportunistic",37,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/lm149Nap/54-hznopt-reduce-unnecessary-api-calls-for-instances"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNADM - Add new setting and apply to instances page","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/DEKIwSRZ/50-hznadm-add-new-setting-and-apply-to-instances-page"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNADM - Add new setting and apply to instances page","opportunistic",37,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/DEKIwSRZ/50-hznadm-add-new-setting-and-apply-to-instances-page"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - investigate broader caching","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/VQdtqhJX/55-hznopt-investigate-broader-caching"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - investigate broader caching","opportunistic",37,0,0,0,2,0,"Medium Priority","<No detail>","https://trello.com/c/VQdtqhJX/55-hznopt-investigate-broader-caching"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOVP - Draft Overview page blueprint","opportunistic",15,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/emWdrV4e/51-hznovp-draft-overview-page-blueprint"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOVP - Draft Overview page blueprint","opportunistic",15,0,0,0,2,0,"Low Priority","<No detail>","https://trello.com/c/emWdrV4e/51-hznovp-draft-overview-page-blueprint"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Project - Network - Routers","opportunistic",20,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/oHxLmAZS/90-hznflt-consisten-api-side-project-network-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Project - Network - Routers","opportunistic",20,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/oHxLmAZS/90-hznflt-consisten-api-side-project-network-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Admin - System - Routers","opportunistic",20,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/bniDnJjn/92-hznflt-consisten-api-side-admin-system-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Admin - System - Routers","opportunistic",20,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/bniDnJjn/92-hznflt-consisten-api-side-admin-system-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Ansible role documentation and configuration guide","opportunistic",9,1,4,0,4,1,"Opportunistic","<No detail>","https://trello.com/c/QthrVOuU/46-gnoben-ceilometer-ansible-role-documentation-and-configuration-guide"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Ansible role documentation and configuration guide","opportunistic",9,1,4,0,4,1,"Ceilometer","<No detail>","https://trello.com/c/QthrVOuU/46-gnoben-ceilometer-ansible-role-documentation-and-configuration-guide"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Ansible role documentation and configuration guide","opportunistic",9,1,4,0,4,1,"Medium Priority","<No detail>","https://trello.com/c/QthrVOuU/46-gnoben-ceilometer-ansible-role-documentation-and-configuration-guide"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Ansible role documentation and configuration guide","opportunistic",9,1,4,0,4,1,"newton-3","<No detail>","https://trello.com/c/QthrVOuU/46-gnoben-ceilometer-ansible-role-documentation-and-configuration-guide"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Deployment","opportunistic",9,0,0,0,4,2,"Opportunistic","<No detail>","https://trello.com/c/2ahDuy9t/19-gnoben-ceilometer-deployment"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Deployment","opportunistic",9,0,0,0,4,2,"Ceilometer","<No detail>","https://trello.com/c/2ahDuy9t/19-gnoben-ceilometer-deployment"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Deployment","opportunistic",9,0,0,0,4,2,"Medium Priority","<No detail>","https://trello.com/c/2ahDuy9t/19-gnoben-ceilometer-deployment"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Deployment","opportunistic",9,0,0,0,4,2,"newton-2","<No detail>","https://trello.com/c/2ahDuy9t/19-gnoben-ceilometer-deployment"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","CFGDFT [Ceilometer] -- Identify configuration items to decorate with new oslo.config options for classification.","CFGDFT",9,0,0,0,3,1,"Ceilometer","<No detail>","https://trello.com/c/Pbsg8iFG/96-cfgdft-ceilometer-identify-configuration-items-to-decorate-with-new-oslo-config-options-for-classification"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","CFGDFT [Ceilometer] -- Identify configuration items to decorate with new oslo.config options for classification.","CFGDFT",9,0,0,0,3,1,"High Priority","<No detail>","https://trello.com/c/Pbsg8iFG/96-cfgdft-ceilometer-identify-configuration-items-to-decorate-with-new-oslo-config-options-for-classification"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","CFGDFT [Ceilometer] -- Identify configuration items to decorate with new oslo.config options for classification.","CFGDFT",9,0,0,0,3,1,"newton-2","<No detail>","https://trello.com/c/Pbsg8iFG/96-cfgdft-ceilometer-identify-configuration-items-to-decorate-with-new-oslo-config-options-for-classification"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Load generation tooling","opportunistic",7,0,0,0,4,2,"Ceilometer","<No detail>","https://trello.com/c/hXNPSmXk/80-gnoben-ceilometer-load-generation-tooling"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Load generation tooling","opportunistic",7,0,0,0,4,2,"Opportunistic","<No detail>","https://trello.com/c/hXNPSmXk/80-gnoben-ceilometer-load-generation-tooling"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Load generation tooling","opportunistic",7,0,0,0,4,2,"Medium Priority","<No detail>","https://trello.com/c/hXNPSmXk/80-gnoben-ceilometer-load-generation-tooling"
